title,date,headlines,file
"October 6, 1972",1972-10-06,"Page 1 (front page): Student Advisory services (photo); A movin’ and a shakin’ (photo); Page 2: Political rally set for Monday; Housing service lists rentals; Health Center gives information; Page 3: Job-seeks find aid at Placement Center; Voter drive set for next week; Page 4 (opinion): Symms supporter replies; Likes Talisman House issue; Let Rubin sing; Thanks for the crap; At Idaho; Page 5: Uncaptioned photo, steam tunnels; Drama department produces Richard Nash’s “Echoes”; Open school offers ABCs in the country; Fall is a cabaret; Page 6: Idaho state bar exam criticized, defended (photo); Page 7 (sports): Women’s volleyball meets; Frosh football game set; Water Polo Schedule – 1972; Water poloists open ’72 season; Page 8: No. Advertising;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 10, 1972",1972-10-10,"Page 1 (front page): The silent plague: VD; Page 2: VD: An embarrassing battle (photo); With venereal disease, there’s no sympathy towards children; Page 3: Sex info center offers help, referral; VD program on KUID explains illness; local doctors discuss problems, symptoms; VD week hailed; Students respond to sex questions; Page 4 (opinion): Symm’s choice; Moscow Tenant’s Union, Borah Theater, 8:00 pm, Tues. Oct. 10th (photo); Page 5 (opinion cont’d):; Dirty words; What about buildings?; Open letter; Page 5 (sports): Vandal sports happening (photo); Fall diamond play pleases Smith; Page 6: Entertainment: Philharmonic conductor challenges UI artists; American music stars in singing lecture; The Cabaret Club (photo only); Page 7: Entomology symposium draws speakers (photo); At Idaho;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 13, 1972",1972-10-13,"Page 1 (front page): Who for you in ’72? (photo); Page 2: The senate race...; McClure defends senate record; Davis seeks contact with Idaho citizens; Page 3: …And the House; Symms stresses less government, more tuition; Williams claims good government — if responsive; Smylie, Bowman speak for Nixon, McGovern; Page 4 (opinion): Symms give the business; McClure protects interests; ASUI alive?; Corrections about Bank of Troy; Frosh Council election results; Borah committee; Leriget for Prosecutor; Fritzler could consider changing his role; Page 5: Williams takes the lead (photo); Page 6 (sports): Gonzaga – U of I meet for water polo tonight; Intramurals (photo only); Soccer, an upcoming sport; Page 7: What’s happening: Plenty of Something; “Echoes,” A New Play (photo only); Las Vegas Night deals again in the SUB; Page 8: U of I financial squeeze hits educational quality; At Idaho;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 17, 1972",1972-10-17,"Page 1 (front page): Everything’s better with Organic on it (photo); The national scene; …and in Moscow; Page 2: Specialist cites need for nutrition education; Beyond organic food, campus homesteading (photo); Page 3 Vegetarian speaks out (photo); New technology fights pests; Page 4: Misstatements about VD; Environmentalists back Williams; Consumer criticizes Symms; Page 5: Opposes Symm’s stand on education; At Idaho; Page 6 (sports): Vandals sports happening (photo); Crime and Punishment; Nimzo-Indian Defense; UI gallery displays work of famous artist; Music events this week; Uncaptioned photo, windmill; Page 7: No. Advertising;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 20, 1972",1972-10-20,"Page 1 (front page): Whoopee? The Moscow fun package:—what to do—what is to do—what not to do—what’s not doing (photo); Page 2:; Department plans full concert season; Idaho experiences the Wellsandt sound (photo); Groovin on the air; Page 3: UI Dance Theatre; Moscow Dance Theatre; Page 4 (opinion): In the land of Big Sky; Supports Kaus; Goofs in VD issue; Save Social Work; Page 5: Entertainment is your own creation; On the loose in the Palouse; Page 6 (sports): Soccer team schedule set; Parachute club active in competition (photo); Vandals meet ISU in Minidome; Board of Regents reject bid to leave conference; Page 7 (sports cont’d): Regent’s goof leaves U of I in Big Sky; Sophomore forward Pete Lungren (photo only); Page 8: Dramatists plan productions (photo); Art gallery thrives on variety; At Idaho; Tenants’ Union sets goals; Page 9: No. Advertising; Page 10: Entertainment goes big time (again); New Riders of the Sage cut off at the pass; Page 11: No. Advertising; Page 12: El Chicano plays; Musical variety forms core of new concert approach by Idaho faculty performers; Free University grows, seeks instructors; AAUW holds book sale this weekend;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 24, 1972",1972-10-24,"Page 1 (front page): Co-ed living: White Pines (photo); Twenty-four hour visitation?; Page 2: Life in the Pines: the co-ed experience (cont’d from pg. 1); At Idaho; Page 3: Capitol reporter speaks here; Regents delay decision on health fee; Page 4 (sports): Vandals drill; Soccer team ties against Montana (photo); Vandals bomb out game; Andrus Proclaims 28th Vandal Day in Idaho; Page 5: Homecoming, part one; Good grief, Charlie Brown returns from summer theatre; Innovative Series One concert premieres tonite; Hartung speaks on programs; Concert confusion explained; University orchestra features chamber music; Page 6: The Code of Conduct…maybe; Straight ticket vote;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 27, 1972",1972-10-27,"Page 1 (front page): Homecoming: Rah! Rah! Rah? (photos); Page 2: Homecoming views (photos); Page 3: George McGovern will be speaking in Spokane Saturday; Reasons for Symms support for Congress [opinion]; Tenure, residency and fees provide major topics for “Campus and the Law” conference; Page 4 (opinion): Did the student body die; George McGovern; Williams charges inconsistency; McClure speaks on education; Page 5 (opinion cont’d): Support for Snow-Weisel; Calls Argonaut biased; Clarifies remarks; Character reference for Snow; Hold Grassroots to contract; Page 6: Orchestra plays first fall concert Tuesday evening; Organ recital set; Faculty quartet begin vocal tour; T-House News; Live-in French course scheduled for 1973; Page 7: Potpourri; Charlie Brown (photo only); Page 8: No. Advertising; Page 9 No, Advertising; Page 10: A co$tly tradition (photo); Photo contest opens; Page 11 (sports): Vandals meet Pacific homecoming contest (photo); Tigers strong, Vandals jacked; Page 12 (sports cont’d): ISU, MSU lead conference play (photo); Water polo team will meet WSU; Page 13 (sports cont’d): Vandal QB confident (photo); Vandals meet Coubabes tonight; Page 14: Tonight’s big contest in the SUB ballroom: Homecoming Queen Miss U of I; Homecoming events set; Page 15: Block classes cleared by Faculty Council; Lukens explains code hassles; Page 16: At Idaho; Diabetes series set for Moscow;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"October 31, 1972",1972-10-31,"Page 1 (front page): Women on campus (photo); The University Problem; Brown Bag Series (photo); Page 2: Women in those old ‘male roles’; A woman in wildlife management (photo); Impressions of a woman in law; Page 3: Behind the cameras (photo); Awareness through women’s studies; Page 4: Change?; At Idaho; Page 5: No. Advertising; Page 6: Reflections on women: past, present, future; Women subjugated by roles; Page 7: Republican Voter’s Guide ’72; Our Team (photo); Page 8: The Top O’The Ticket—Leading The Way (photos); Send A Leader To The Senate (photo); Symms Stands For Freedom (photo); Page 9: Harold Snow (photo); Legislative Seats Sought By Experienced Threesome; E.B. “Jim” Newsome (photo); Robert Weisel (photo only); Former Prosecutor Makes Bid for Post [Robert T. Felton] (photo); Page 10: “Doc” Lucas, Bill Jones Seek Posts on County Commission (photos); Walker Wants Sheriff Job (photo); For Coroner, Edward M. Boas, M.D.; Page 11: Finding out where women are today, a man speaks; Stepping down from pedestals; Beauty pageants—a way of prostituting women; Page 12: Women break sexual barriers (photos); Autocross; Page 13:; I-Club promotes WRA (photos); Notice; Idaho hosts national swim championship (photo); Page 13: E.R.A.: The legal status of women (photos); Page 14: No. Advertising; Page 15: In the minority: U of I women;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 3, 1972",1972-11-03,"Page 1 (front page): The Idaho Argonaut political machine; Page 2 (opinion): A Republican looks at Nixon; Symms contradicts himself; Page 3 (opinion): McGovern- for the people; Snow opposes drinking law; Page 4 (opinion): Supports Weisel; Bud Davis; Ponder these questions, vote for McGovern; Weisel admired; McClure’s record is poor; Page 5: No. Advertising; Page 6 (opinion): Ed Williams; The Amnesty question before the electorate; Page 7: No. Advertising; Page 8 (opinion): Bite out of government; Supports Symms; Page 9 (opinion): Ed Williams makes sense; Backs Williams; Honest Kaus; Likes Williams; Page 10 (opinion): Send a leader to the Senate; Symposium for Idaho trials [news]; Page 11 (opinion): Bud Davis: Idaho is not for sale; Chastises U of I; Likes issue; Page 12: …And the three minority parties; Peace, Freedom Party seeks policy changes; Socialist Workers back woman candidate; American Party takes isolationist stance; Student presidents support McGovern; Argonaut seeks literary works, photos; Page 13: Talisman House; Page 14: Coach Don Robbins pose with his three quarterbacks (photo only); Intramural dept. evaluation; Polo team wins again; This weekend, Utah State Aggies (photo only); Page 15: Weekend stuff??; Crime and punishmenr; Caro-Kann Defense; Page 16: At Idaho; Student dies in elevator mishap; Uncaptioned photo, construction site;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 7, 1972",1972-11-07,"Page 1 (front page): Get off your apathy --- vote! (photo only); Page 2: Maybe they gave us the vote because they didn’t think we’d use it….Let’s hope they weren’t right (photo); Page 3: No, advertising; Page 4: Nixon, Davis, Symms predicted winners; Voting (opinion); Page 5 (opinion): Attendance figures; Snow cares about us; More law students; Moscow needs representation in State Legislature; Needs experience; His own man; Page 6 (opinion cont’d): Uncaptioned photo, urinals; Honest Kaus; A sea of contradictions; George McGovern; Page 7: The Idaho Senate (See page 9 for the House) race; Orval Snow (photo); E.B. Newsome (photo); Prosecutor Candidates rap pot law; Lisher—commissioner; Page 8: Moscow precinct map; Page 9: The Idaho House race; Dobler (D); Weisel (R); Harold Snow (R); Kaus (D); Page 10: Babes drop last game; Uncaptioned photo, rock climbing; Vandals drop contest to Utah State Aggies; Water polo team third at UW meet; Page 11: Famed Athlete Jesse Owens keynotes SUB Olympic program (photo); Vote for truth (opinion); Voo Doo spell cast by music of Dr. John (photo); Page 12: Peace Corps VISTA workers recruit here; Eiguren reports on ISGA meeting; Workshop scheduled at swim center; At Idaho;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 10, 1972",1972-11-10,"Page 1 (front page): The day of the Olympiad: Jesse Owens (photo); Olympic Architecture; Page 2: Regents end exam week; Council debates research policy; TIP program starts Friday; The Perch — revisited; Page 3: Smith resigns ASUI post (photo); Page 4 (opinion): Getting to know you; What do they do?; Defending whom?; Perspective on Symms; Page 5 (opinion cont’d): It’s going to hurt; Wikstrom’s thanks; Page 6 (opinion cont’d): Football in perspective; Page 7: Cops and boredom (opinion); Chekov play spins emotional web about bored lives; Dr. John, Butch, Armadillos; Uncaptioned photo, campus scene; Page 8 (sports): Seniors play in last home game; Mark Busch (photo); Darrell Burchfield (photo); Rod Maynard (photo); Mike Newell (photo); Jerry Hall (photo); Bernard Rembert (photo); Steve Hunter (photo); Ralph Sletager (photo); Page 9 (sports cont’d): Seniors play in last home game (cont’d from pg. 8); Ken Muhlbeier (photo); Kevin Ault (photo); Larry Warren (photo); Daryl Hanauer (photo); Kelly Courage (photo); Larry Bosma (photo); Rand Marquess (photo); Dave Crnich (photo); Page 10 (sport cont’d): Vandal soccer club elects new officers of the year (photo); WRA elections; Page 11: Now’s your chance - - Legislators converge on Moscow; T-House News; At Idaho; Page 12: All that glitters isn’t gold;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 14, 1972",1972-11-14,"Page 1 (front page): The social work department — is it alive and well? (photo); Page 2: Legislators in Moscow: What about tution? (photo); Faculty considers code, tenure; Curriculum (including social work) in the spotlight; Page 3: Pentagon papers reporter due here (photo); Winning photos displayed; Take a train; At Idaho; Page 4 (opinion): Pay attention; Black cloud over ASUI; Suggestion box reply; Page 5: Mind sowing; Bach concerto featured by Chamber Orchestra; Mime stars in Troupers Theatre; Senior vocal recital set; Underground film asks questions using a mad logic; Page 6 (sports): Vandals dump UM; Coach Anderson likes team play; Wrestling coaches hired, tough schedule planned; Page 7 (sports cont’d): Intramural results; Page 8: The social work department — is it alive and well? (cont’d from pg. 1);","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 17, 1972",1972-11-17,"Page 1 (front page): Campus thefts versus campus security (photo); Page 2: Tenure: It sparks debate; Page 3: Johnston replies to Tribune editorial (photo); Pentagon Papers reporter cites press pressures in speech here; Page 4 (opinion): Intellectual dwarves; Anti-tuition petition circulates; ISL, ISGA oppose plan [news]; Page 5 (opinion cont’d): Is tenure really worth it?; Page 6: It’s a… turkey (photo); Page 7: Former DJ protests KUOI programming; Page 8 (sports): Mack is awarded honors for week; A member of the extramural women’s bowling team (photo only); Vandals face Broncos; Page 9: Vandals face Broncos (cont’d from pg. 8); Intramural Volleyball Results, Nov. 14, 1972; 3-Man Basketball Results; Handball Results; 3-Man Basketball Results, Nov. 13, 1972; Bowling Results; Pool Results; Intramural Volleyball Results, Nov. 13, 1972; Handball Results; Page 10: T-House News; The Code sent back (photo); Air Force contest judged; Senate downs Cheech y Chong; Page 11: Hare Krishnas visit UI campus (photo); At Idaho; Page 12: No. Advertising;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"November 28, 1972",1972-11-28,"Page 1 (front page): Stories we’ve always wanted to print (photo); Page 2: Miracle of Moscow, The city loosens up (photo); Pressure is off, so is finals week; ASUI seeks media director; Page 3: The possibility of legalizing Pot: Outlook good in Idaho; Carter finds important trash can; Hartung sacrifices trip to entertain students; Teacher evaluated, canned; Page 4: Argonaut policy; Nyaaaa, Dennis; Anti-American tendencies charged; Friend defends Argh quality; Argonaut editor keeps news from students; Page 5: Eiguren, Fisher quit; reveal big ambitions; Senate act; Conduct Code now official; Out of the Big Sky --into the fire; At 6th St. U; Page 6 (sports): Vandals dump Broncos (photos); Ski lessons plan; Intramurals; Page 7: What’s happening; Goldsboro rocks campus; KUID-FM airs radio nostalgia; Wind Quartet performs tonight on campus; Page 8: No. Advertising;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"December 1, 1972",1972-12-01,"Page 1 (front page): The spirit of Christmas (photo only); Page 2: Policy questioned, referred on and on and… (photo); Inmates’ candle sale; Page 3: Serrano moves to Wisconsin (photo); Senate funds new French house; Page 4: Right action, wrong reason; Get the message; Practice what you preach; T-House News; Page 5: Faculty Council investigates aspects of community government; Housing referral moves to ASUI; January courses– maybe; Page 6: WAMI aids med students; In-state tuition plans generates opposition; At Idaho; Page 7: The Boys of Boise: in retrospect; Uncaptioned photo; Page 8: Christmas festivities planned for SUB; UI opera players perform Puccini work; Weekend flea market offers antique delights; Page 9: A fugue, Spitz, and flicks; Page 10 (sports): Intramurals; Idaho hoopsters travel (photo); Freshman Basketball schedule; Page 11: Rand Marquess is named “Lineman of the Week”; Sports Car Club sponsoring rallye (photo); Page 12: Instead of Vietnam, If the fighting had taken place here; New course will examine arts, sciences;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"December 5, 1972",1972-12-05,"Page 1 (front page): Mental health at Idaho: Keeping it all together (photos); Page 2: Suicide is painful; Page 3: Pressures, loneliness defeat some students (photo); Dorms vandalized; Page 4 (opinion): Senators; Appointed voice; Christmas spirit; Page 5: At Idaho; To Whom It May Concern; Thompson’s offers rides; CHORD plans winter workshops; Nightline gets crisis calls; Page 6: Idaho vs. Big Sky and Roning; Page 7: Jazz lab bands surface musically with original student works; Band, Ensemble perform dual concert tonight; Tuba, base guitar join in recital; Spring ski tour to European Alps planned; SUB Christmas event schedule; Page 8: No. Advertising;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"December 8, 1972",1972-12-08,"Page 1 (front page): ’72: In Review; The Senate: Decision and indecision; And what a year it was…; Argonaut seeks staff; Page 2: Golf course grows… reserve shrinks (photos); Tuition boost downed (photo); Page 3: At Idaho; What’s goin’ on; Page 4 (opinion): Enlightened Senate; Lucky winner; Favorite pastime; Page 5: What’s happening: Final wrap; Page 6: T-House News; White Pine seeks members; Page 7: U of I reassesses policy; Page 8 (sports): Wrestling schedule; Vandals whip Pirates; Intramurals; Page 9: Creativity (photo); What is the Amython?; Uncaptioned photo; Page 10: W.D., an introduction; For Donald; Ashes; Hustlers; Uncaptioned photos, walking in woods; Page 11: Chapter 27; Coming Unglued; Collar of black iron; Standing by fire; Uncaptioned photo, tree; Page 12: Public Market; Ambrosia; What Many of us Need; For A Friend; Seattle Tree; Requiems; Uncaptioned photos, opening Christmas presents; Page 13: The Second Fall; Laments of an Olive Pit; A Builder of Bridges; Page 14: Houses that Last Past Their People; One Evening at the S.U.B.; Uncaptioned photo, walking in woods; Page 15: Hunting Out of Season; Bishop; Pearl, pearl; Calvary’s Kiss; Sea Debris; Uncaptioned photo, hand and pull chain; Page 16: Financial aids help many continue education;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"January 23, 1973",1973-01-23,"Page 1 (front page): POW’s may be gone, but not forgotten (photo); BSU: A case of apathy (photo); Community Development Center offers practical experience; Sexual revolution is here to stay; Page 2 (opinion): BS From BSC; Digging for gold; Rambling on; Shadowing the media; Presidency rip-off; Besides degrees; Page 3: The last two months – preview of ASUI senate; Code of Conduct before faculty; At Idaho; Pot drive underway; Spring enrollment shows little change; Firing Aimed At Idaho Athletics; Page 4: Oregon State Guard Charlie Neal (photo only); Ty Fitzpatrick And Neal Jurgenson (photo only); What’s a rallye?; U of I suffering withdrawal from Big Sky pains; Vandals in tailspin; Page 5: U of I to see change in big name entertainment; Stanley Kubrick’s horrific daydream; What’s happening; Watch TV for credit?; The Cage; Page 6: I am woman; POW’s may be gone, but not forgotten (cont’d from pg. 1); Books for sale; Sexual revolution is here to stay (cont’d from pg. 1);","Argonaut Index, September 6, 1972 through May 8, 1973
"
"January 26, 1973",1973-01-26,"Page 1 (front page): Bookstore markup questioned; In the beginning… And in Moscow (photo); Illinois Student lauds National Student Exchange; Family planning clinic loses funding (photo); Page 2 (opinion): Locker room talk; The Arg Inquisition; Rambling On Something good (for a change); Reorganizing Rush; Burying the Rose; A wish for WICHE; Page 3: Man with the plan: Eiguren’s proposed re-organization (photo); Position on higher education; At Idaho; Page 4 (sports): Sauna soaks students; Even Perry Mason can’t settle Big Sky balloting Controversy; Sports topics; Have a dome; Faculty Council convenes; Intramural BB off and dribbling; Page 5: “Don’t Mess Around With Jim”; Jazz growing in popularity; Drama award to U of I actor; Page 6: Crime on campus (photo); Prison reform; Perch loses fight for beer, wine licence; Lyndon Johnson: a trilogy-eulogy; Fund drive underway;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"January 29, 1973",1973-01-29,"Page 1 (front page): Co-ed living; A truce between the sexes (photo); Special Ed. preschool helps handicapped; Co-ed living thrives at White Pines hall; Can 50,000 involuntary mental patients be wrong; Page 2 (opinion): The ASUI show is coming to town; And they tell us peace is at hand; Tenure thoughts; Austerity at Idaho; Academics 10, football 0???; Student questions Rose’ dismissal; Page 3: ISL: Report From Boise (photos); Proposal passed to allow students on council; At Idaho; Senator’s opinions on reorganizations (photos); Men’s co-op stresses freedom, atmosphere; Page 4 (sports): Swim team begins practices; Swim center used little; Council discusses athletics; Grapplers need support; Sports topics; Mafia moving in on football; Page 5: Lady Sings The Blues; Black awareness a la Mama Rosie; Help!; What in the — is a Hoagie (photo); Entremont plays in Moscow; Page 6: Vietnam: Ceasefire–but no peace [opinion]; Christians’ newspaper spread word; Instructors dismissal questioned;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 2, 1973",1973-02-02,Page 1 (front page): Hartung would raise fees if legislature doesn’t act; Is parking an acute problem (photo); The Argonaut is…; Page 2: Sex: Out of the bedroom and into the classroom; Tenure system needed; At Idaho; Faculty review bill passed by senate; Page 3: Bill Hall looks at Idaho (photos); Page 4 (opinion): De-ratification pigs; Roy and Ernie and their plans; In defense of Alan Rose; Students on the butt end; Midwife defends practice; Sex defended in marriage; Page 5: Annual vs. biennial budgeting in 42nd legislature; ‘Crisis in program maintenance’ [opinion]; Revisal of judicial system planned; ISL student lobby poll results; Outsiders use SUB; Non-punitive grading defeated; Loan program changes may have radical effects; Page 6 (sports): Like rats deserting a dying ship – coaches; Swim team splashes on (photo); Park and Recreation plan expansion; ‘A’ Basketball Standings; Nelson typifies academic athlete (photo); Page 7: Blood Sweat and Tears Idaho Bound (photo); What’s Happening; Marijuana madness exhibits evils of weed; Tutoring services give academic aid; Page 8: Alan Rose versus reinstatement (photos);,"Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 6, 1973",1973-02-06,"Page 1 (front page): Troy offers Idaho first home-brew (photo); Women decimated against in UI salary scale; Plea made for additional funds; Page 2 (opinion): Thanks for the memories; Comment; Taking sex to class with you; Athletics in the air; Viewpoints; ‘Where are the reasons?’; Page 3 (opinion cont’d): Election preview (photos); Fees rise for health care [news]; The Regents giveth… and taketh away; Navy ROTC alive and growing; At Idaho; Pass-fail option to be discussed; Page 4 (sports) Romance of fencing returned; WSU meets U of O in gymnastics; Judo classes gain popularity; WRA news (photo); Vandals run hot, then cold; ‘A’ Basketball Standings; Sports topics; Page 5: Waters, death prevail; Stark reality in films causes ‘R’, ‘X’ rating problem (photo); Repair or remove; Dare to struggle; Page 6: Batt Comments on In-state-tuition;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 9, 1973",1973-02-09,"Page 1 (front page): RR crossing dangerous? Students–yes, officials–no; College of Engineering worried about future; Apartment living at its best (photos); Page 2: Roles, finances, and sex enter into college marriage problem; State Pen. beset with problems; RR crossing dangerous? [cont’d from pg. 1]; Argonaut Inquisition; Page 3: Election preview – Fisher vs. Wurster (photos); ISGA; At Idaho; Life drawing features human body au natural (photos); Future uncertain for outdoor recreation; Page 4 (opinion): The $1.50 fee increase; Caged and placed on a pedestal; A black statement on Idaho; Administration blues; Page 5: BS&T: The making of a concert (photos); Monkey wrenches in the machinery; A musician’s comment: BS&T reborn; Page 6: New stadium can’t hide (photo); ‘A’ basketball standings (photos); Skydiving offers freefall delight; WRA news; Sports topics; Page 7: Uncaptioned photo; What’s Happening; Why?; State is stage for faculty trio; Paul Butterfield finds better days; Page 8: Gay lib--the boys of Moscow and Pullman;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 13, 1973",1973-02-13,"Page 1 (front page): Bible study is re-emphasized; Ban-the-can bill debated; Uncaptioned photo; House gets bill to rescind equal rights amendment; Chips off the old totem pole; Page 2 (opinion): March on Ad. 105; Terrible tenure; In The Senate: Senate Resolution No. 37; Student demands equal treatment; Campaign complaints; Page 3: Homosexuality: cause and effect of society’s pressures (photo); Food service, students differ over food quality; Comment; ASUI candidate reveals opinions; Page 4 (sports): ‘A’ Basketball Standings (photos); Sports topics; Kung Fu at U of I (photo); Page 5: Uncaptioned photo, old house; Hose Valley Series to create humor (photo); Androcles and the lion presented to children; Musician receives recognition; It didn’t sink fast enough (photo); Page 6: Lack of bi-lingual programs cause problems for Chicano students;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 16, 1973",1973-02-16,"Page 1 (front page): The girls of Wallace; Surging architecture causes some problems; Cost of campaign posters unlimited; Page 2: Senate candidate Wittman and his ideas; Uncaptioned photo; Greeks say little hazing at U of I; Page 3: Nixon aid cuts hurt poor students; Power to the winner; Power as a cause of war is Borah Symposium theme; The man with the plan; Survey shows sex education desired; KUOI waves interfere with TV reception; Disciplinary groups ousted; Hill says women needed; Engineering students offered tutoring; Arg offers publicity; Page 4 (opinion): Come home, E.H. come home; Ex-GI denies Army is gay; The Stillinger bungle; Towards voluntary pregnancy; Students For Rose slowing down for now; Commune requests; Presidential candidate steps down, criticizes professional politicians; Page 5 (opinion cont’d): Wurster, Mitchell --two for the road; Action for the non-travelers; Election posters necessary?; The President in Idaho; Page 6 (sports): Sports topics; Top women swimmers to meet at U of I; ‘A’ Basketball Standings; Art and Architecture (cont’d from pg. 1); Game room sets new hours; Birds decorate floor in Life Science (photos); Summer orientation; SUB pong explained; WRA news; Page 7: Uncaptioned photo; March jazz festival set; What’s happening; Hovalt, trumpeter, exhibits skill; ‘Birth of a Nation’ starts Monday movies; Record Review: Blue grass is good listening (photo); Slade optimistic on Moscow shopping center; Library hours extended one hour;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 23, 1973",1973-02-23,"Page 1 (front page): Empty Steins and bulging pocketbooks; Great Western Land boom hucksters (photo); Discrimination against singles kept legal; Page 2: Christian discusses campaign (photo); Discrimination battle continues; CHORD: An innovation (photo); Frosh off campus legally; No housing code protects singles (cont’d from pg. 1); Page 3: Comm. board a thing of the past (photo); Candidate spending high; Bible studies said “No hassle”; Page 4 (opinion): 27% or a New Direction; Political rhetoric: listen!!; Aspirations for college; Fisher: the Argonaut is wrong (photo); Wurster: day-to-day concern (photo); D’Antorio forces Warnick endorsement; Journalism student appears ready to kill; Wurster’s candidacy questioned; Page 5 (opinion cont’d): Mitchell: new directions (photo); Casey: represents students (photo); Wurster, Mitchell supported; Definitive statement; Mike D’Antorio (photo); Dave Warnick (photo); Everything you always wanted to ask…; Page 6: Senate candidates give views (photos) David Bull; Dave Carlson; Ken Day; Jim Etherton; Jim Huggins; Sandy McLeod; Mike Renoux; ’73 ASUI election ballot; Page 7: Educational Consulting Service assists teachers and students (photos); Page 8 (sports): Sports topics; Valentino, Hansen lead Vandal netters (photos); ‘A’ Basketball Standings; Idaho NROTC first in rifle marksmanship; Chess; Floundering frosh to sailing sophomore; Page 9: Return to the Kingdom; U of I and WSU to perform; What’s Happening; Page 10: Great Western Land boom hucksters (cont’d from pg. 1); Students running in election game (photos) Jeff Stoddard; Vicki Thomas;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"February 27, 1973",1973-02-27,Page 1 (front page): The Idaho drug scene: drugs infiltrate campus (photos); Lack of snow may hurt Palouse; Moscow Bakery: small business still working hard (photos); Page 2 (opinion): Out of the audience and into the arena; Racing to other things; Argonaut senate corrections (photos); Let’s not vote for football; Lincoln’s kind of amnesty?; Out of the Big Sky -- into the PCAA; Page 3: Stillinger estate’s demolition delayed; Financial student loans show good collection rate; Comment; Page 4 (sports): Championship playoff scheduled tomorrow (photos); Foreign study opportunities; Idaho wrestling title; Oldest Vandal dies at 91; WRA; Page 5: What’s worse than a tornado?; Limited budget cookery offered; Vandaleers set tour; At Idaho; Graphic design — Japanese style; Paul Butterfield plays blues rock Saturday; Page 6: Meat price guide for Moscow area; Forest service seeks public reactions on plans for use of White Pine area; Student police force to be considered; Snowfall not a problem; Snow shortage (cont’d from pg. 1);,"Argonaut Index, September 6, 1972 through May 8, 1973
"
"March 2, 1973",1973-03-02,"Page 1 (front page): University creamery doesn’t cream buyers (photo); Wurster, Mitchell take highest offices; Moscow’s volunteers… down at the station (photos); Page 2 (opinion): Only four years-- they can wait us out; The Election: turnouts and upsets; Where there is smoke…; Selling the vote; Votes for beer; Military criticized — living after killing; Page 3: The good old days — were they so great?; Backing asked for a Duke Ellington; At Idaho; Attention out-of-state veterans; Urgent notice; Council judges on cheating; French house loses Rose and incentive; Page 4 (sports): Sports topics; SAEs take championship title (photo); Vending machines versus students; Wurster, Mitchell (cont’d from pg. 1); Big Sky swim meet; Chess at its best– NW regionals reviewed; Page 5: What’s Happening; KUOI Preview ’73; Dances no longer banned; Wealth of good music to be produced in jazz festival; Dancers slate company (photo); Time Piece; Free combo concert in Kiva; Page 6: Appropriations by legislature too small to prevent fee increase (photos); Moscow’s volunteers (cont’d from pg. 1); Moscow Public Library — much to offer students;","Argonaut Index, September 6, 1972 through May 8, 1973
"
"March 6, 1973",1973-03-06,"Page 1 (front page): Campus security force will depend on students (photos); Breaking in and threw; Valid Amnesty claims by 70,000 (photo); Beetles live longer, how about man?; Page 2 (opinion): Out with the old…?; The military — a black void?; Towards a beautiful bureaucracy; In the senate…; Gay Lib secretary hits Kees, DuPont for “misinformation”; Drug Scene — out of syringes for an exam; Students for Rose in the home stretch; Page 3: Fewer jobs for forestry majors; Health center slates information sessions; The killing of Tuition; Safeway stores boycotted (photo); Food facts & fallacies; Page 4 (sports): Comment; Batters up…; U of I loses in overtime (photo); Rallying the troops; Sports topics; Fund raising: fun and frolic; Vandals add two coaches; WRA news; Page 5: Uncaptioned photo, field; Insanity comes to Idaho via ‘Marat/Sade’; At Idaho; Festival features musical variety; Ludicrous reality, of detective spoof; Page 6: Hartung explains out-of-state travel as necessary to University’s interests (photos); Can man live longer? (cont’d from pg. 1); Valid amnesty claims (cont’d from pg. 1); Campus security force pends (cont’d from pg. 1); Academic bankruptcy aids students;","Argonaut Index, September 6, 1972 through May 8, 1973
"
